date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:13:00	114/114	---M--	200	added ('OK')	text/plain	date:Sat,%2006%20Sep%202025%2020:12:57%20GMT	http://localhost:8080/robots.txt		(from )
02:13:01	100495/100495	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Sep%202025%2020:12:57%20GMT	http://localhost:8080/	G:/website/MyLocalSite/localhost_8080/index.html	(from )
02:13:01	5842/5842	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Sep%202025%2020:13:03%20GMT	http://gmpg.org/xfn/11	G:/website/MyLocalSite/gmpg.org/xfn/11.html	(from http://localhost:8080/)
02:13:01	116345/116345	---M--	200	added ('OK')	text/css	etag:%221c679-639658c43d600%22	http://localhost:8080/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	G:/website/MyLocalSite/localhost_8080/wp-includes/css/dist/block-library/style.min6c2d.css	(from http://localhost:8080/)
02:13:03	94603/94603	---M--	200	added ('OK')	text/css	etag:%221718b-63e1e9ebf2173%22	http://localhost:8080/wp-content/themes/author-personal-blog/style.css?ver=6.8.2	G:/website/MyLocalSite/localhost_8080/wp-content/themes/author-personal-blog/style6c2d.css	(from http://localhost:8080/)
02:13:03	1697/1697	---M--	200	added ('OK')	application/rss+xml	etag:%2251553f2fc077660081a7c7c2512ef856%22	http://localhost:8080/index.php/feed/	G:/website/MyLocalSite/localhost_8080/index.php/feed/index.html	(from http://localhost:8080/)
02:13:05	1648/1648	---M--	200	added ('OK')	application/rss+xml	etag:%2251553f2fc077660081a7c7c2512ef856%22	http://localhost:8080/index.php/comments/feed/	G:/website/MyLocalSite/localhost_8080/index.php/comments/feed/index.html	(from http://localhost:8080/)
02:13:05	60688/60688	---M--	200	added ('OK')	text/css	etag:%22ed10-63e1e9e9e90c8%22	http://localhost:8080/wp-content/themes/author-personal-blog/assets/css/bootstrap-grid.css?ver=6.8.2	G:/website/MyLocalSite/localhost_8080/wp-content/themes/author-personal-blog/assets/css/bootstrap-grid6c2d.css	(from http://localhost:8080/)
02:13:06	4260/4260	---M--	200	added ('OK')	text/css	etag:%2210a4-63e1e9e9f112c%22	http://localhost:8080/wp-content/themes/author-personal-blog/assets/icons/icons.css?ver=6.8.2	G:/website/MyLocalSite/localhost_8080/wp-content/themes/author-personal-blog/assets/icons/icons6c2d.css	(from http://localhost:8080/)
02:13:06	42400/42400	---M--	200	added ('OK')	text/css	etag:%22a5a0-63e1e9e9e90c8%22	http://localhost:8080/wp-content/themes/author-personal-blog/assets/blocks-style/block-styles.css?ver=6.8.2	G:/website/MyLocalSite/localhost_8080/wp-content/themes/author-personal-blog/assets/blocks-style/block-styles6c2d.css	(from http://localhost:8080/)
02:13:09	13577/13577	---M--	200	added ('OK')	text/javascript	etag:%223509-5fda6e6e94900%22	http://localhost:8080/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	G:/website/MyLocalSite/localhost_8080/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://localhost:8080/)
02:13:10	802/802	---M--	200	added ('OK')	text/xml	date:Sat,%2006%20Sep%202025%2020:13:09%20GMT	http://localhost:8080/xmlrpc.php?rsd	G:/website/MyLocalSite/localhost_8080/xmlrpc0db0.php	(from http://localhost:8080/)
02:13:11	15796/15796	---MC-	200	added ('OK')	application/json	date:Sat,%2006%20Sep%202025%2020:13:08%20GMT	http://localhost:8080/index.php/wp-json/wp/v2/pages/8	G:/website/MyLocalSite/localhost_8080/index.php/wp-json/wp/v2/pages/8.json	(from http://localhost:8080/)
02:13:12	2108/2108	---M--	200	added ('OK')	application/json	date:Sat,%2006%20Sep%202025%2020:13:11%20GMT	http://localhost:8080/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2F	G:/website/MyLocalSite/localhost_8080/index.php/wp-json/oembed/1.0/embed2f5c.json	(from http://localhost:8080/)
02:13:13	2266/2266	---M--	200	added ('OK')	text/xml	date:Sat,%2006%20Sep%202025%2020:13:12%20GMT	http://localhost:8080/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2F&format=xml	G:/website/MyLocalSite/localhost_8080/index.php/wp-json/oembed/1.0/embed698f	(from http://localhost:8080/)
